text,sentiment
12 ikan sembuh sakit selamat bagus laik jual pisah seleksi ikan cacat permanen pelihara sehat ikan ncc,0
a inya pribumi sadar lihat kecuali cina komunis misionaris abai twit usir cina indonesia,1
presiden tuduh rezim anti islam negeri umat uniform resource locator,1
manusia bangsat,1
ya cina kenal wisata haram indonesia haha,1
prabowo partai adil sejahtera bib asyik anggap antek prabowo antek partai adil sejahtera hidup dramatis,1
sahabat salah lovren bukti beda suku agama ras halang bina hubung umat manusia beda warna jalin pe emanan terima kasih lovren salah favorit best friend forever bro,0
lae turun turun ideologi partai komunis indonesia lekat jiwa,0
kesal rokok motor iya kadang pengap tutup macet,0
maaf kunyuk bro enak banget rasan sebar hoaks maaf sebar hoaks maaf mesti sapu biar jera nih orang uniform resource locator,1
halo warga jaka a wakil kepala dinas tanam modal layan padu pintu provinsi daerah khusus ibukota jaka a denny wahyu haryanto wakil wakil gubernur provinsi daerah khusus ibukota jaka a buka acara 2018 junior chamber international jci indonesia nasional event setiamelayanijaka a,0
2 kuat jaring gubernur tekan kuasa state of the a knowledge a bahasa rantau indonesia,0
pandang tuan guru bajang hadap agama politik,0
sedia berengsek,1
susilo bambang yudhoyono presiden ri 6 khofifah emil masyarakat no 1 bagus,0
dungu orang ganti presiden tau mikiiiir,1
bokep cewek bispak bandung ngentot crot unduh full uniform resource locator uniform resource locator,0
kampret complain raga tanggap fuck,1
kayak jablay grand theft auto jemput pakai mobil,1
lihat memek tante,0
kerja musuh dakwah islam bubar hati rakyat hak lengser jokowi kodok tukang citra,1
ha lengkap orang bukti goblok sih,1
salah orang khalifah rasyidin rang orang kafir orang orang munafik orang munafik,0
suka nete uji nasional maklum,0
nek lihat match chelsea sih menang mudah manchester united iya embuh sih chelsea kacrut ki prediksi,1
ya kali tentara nasional indonesia suruh urus sampah plastik,0
khawatir manuver politik bijak laku rezim moga negara republik indonesia cinta amin,0
madi arya lapor rocky gerung polisi serius kitab suci fiksi rocky nyata salah hina tunggu anut agama a anggap kitab suci,0
bajing tengik,0
pakai buruh cina rakyat anggur dasar rejim kodok,1
,1
rupiah haneul cute pacar perek on retweet,0
bilang anti asing asing tau wkwk,0
suriah sekolah radikal rakit bom pulang indonesia ya aman,0
kadang hidup kayak tai kadang berak orang beres tainya tangan iya,0
ih banci selotipan,1
haha kalah nih iya orang jahat kalah,1
gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya suku agama sungguh kaya djarot hadap pese a rakercabsu,0
cinta orde meng idola prabowo amp hary tanoe,1
tantang buka dada eh setan habis kamus lawan kenegarawanan joko widodo presiden ri 7 stresssssss nih hati hati kena strok serang jantung rakyat indonesia hilang badut badut politik merdeka,1
belah duren ya dungu ya cebong maaf ya,1
2 orang orang yahudi nasrani al kitab taurat injil kenal muhammad,0
bubar hati amp front bela islam uniform resource locator,1
ahok verbal keras lampias lari lelaki lunak,1
teman teman kantor langgan cadar langsung bilang awas bom hela nafas,0
pantat nih tusuk tusuk nopen bo wa 08157686707 gay berondong massage boy gayjaka a gay yogyakarta gay tangger,0
ancam bunuh presiden republik indonesia mas mesti lapor tegak hukum be indak ancam bunuh kepala negara,0
kayak orang nyosor nete,0
ngewe,0
jebur cebur,0
partai adil sejahtera ulang balai kota rr bicara calon presiden balai kota ganti nama balai politik,0
rencana seret adil ham pbb uniform resource locator,1
bijak barang konsumen laku barang rusak cacat produksi konsumen puas produk hitung 7 tanggal beli haus mini quiz hazid kunyuk,0
kisah hidup muhammad lengkap unduh,0
jajah bumi indonesia hapus jajah ekonomi budaya hasil bumi cina basmi negara republik indonesia usir,1
we pipis onta cecer mari bau pesing,0
teriak lantang pm h pro asing pas tawar bantu asing bikin posko inti kompor keluarga korban pm h bilang 15 3,0
mari juang jokowi lantik 2019 gentar takut mata benang leher ujung tombak perut surut langkah bisu suara,0
kayak monyet,0
survei metro televisi jokowi menang presiden hitung ya 45 kalah 46 salah judul maksud jokowi menang sumber zie bajrie,1
,0
cuba tegak anime nih karakai jozu no takagi san nak feeling feeling cinta monyet zaman sekolah throwback habis 9 10 uniform resource locator,0
seru pesta budaya derau kuta kakak anegara,0
kontak retweet ya banget kenal tante jilboobs sange nini nama tante dea o,0
debat publik ajang bukti pintar ruang akademik pamer indah orang kuat lemah egosentris nama kuat tahan l,0
duduk istana negara lengser jokowi salam,1
hebat sibuk citra baca nih,1
muslim hina iblis betina nista syariat,1
baby kafir buddha teroris myanmar,1
indonesia merdeka indonesia jajah orang cina takbir allahu akbar uniform resource locator,1
politik hanta yudha pasang calon no 2 nya jawa jawa gayeng 2019 jokowi,0
jongos nista agama ahok sok sok ngong sara majikan nya tebar sara astagfirullah tobat,1
follow beli katolik akun prof wawas bangsa terima kasih,0
sih bejat cabul kecut sih onta iya,1
wibisono citra jokowi sebar up media massa pro asing kes jokowi hasil,1
adi gaya kayak beruk supir tembak metromini masuk dewan wakil rakyat kampung,1
km mainstream mengaa ikan pintar pintar relatif gantung bawa penge iannya surat pemberitahuan pintar meng undeeestimate orang gue pintar komen rejim now pintar mangkrakan janji janji doang sok making,1
gue dongok,0
ih masak sampah,0
gue pukau 2019 ganti presiden,1
aspirasi lina sumedang calon gubernur jabar berantas rebut laki orang resah hidup warga desa,0
yaelah chat urus lihat mesum anggota dewan wakil rakyat diam nyata selingkuh tujuh pura pura budek cebong iq ratus otak,1
takut cina i dap bimbang paham bawa,0
cermin pecah kaca,0
langsung tag ainya berani ya bera i banci,1
awwww comel nya asing warna,0
islam manusia idealis realistis hidup lupa ajak kerja keras ajak istirahat,0
kristus anjing anjing jembut keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk k,1
agama katolik katolik nusantara agama kristen protestan kristen protestan nusantara agama hindu hindu nusantara agama buddha buddha nusantara,0
3 bas teknologi digital presiden sistem jalan langsung ramah ratas,0
ah asa hibur cebong bahagia presiden cebong tol cebong germo,1
resah presiden hidup penuh drama citra main film televisi joko judul uniform resource locator,1
agama kristen golong darah b nasal san fernando valley,0
buddha bunuh muslim myanmar,1
yahudi bangkai jerman ibadah,1
papa ketua fraksi rakyat nya setya novanto dewan wakil rakyat pecat ketua dewan wakil rakyat pecat dewan wakil rakyat,1
cina,0
hoaks kodok biawak roket sekop bangsat karbitan munafik 2019 ganti presiden 2019 presiden 2019 tenggelam jokowi sungai siak,1
ribut komunis bla bla emoh baca baca niat agitasi serang perintah pakai cari simpatisan,1
10 presiden jokowi harap skema kerja laku bangun bangun,0
pilih langsung biar pilih presiden dewan wakil rakyat calon presiden biar kayak kucing karung bikin mekanisme oke calon presiden gubernur prestasi maju calon presiden gubernur,0
vital inter bek kanan beda ya era maicon ambrosio cancelo bagus nhmmmm bera i simpul geblek ausilio,1
nama agama munafik,1
43 contoh tuding duga korupsi susilo bambang yudhoyono dorong jaksa usut himbau komisi berantas korupsi usut duga korupsi jokowi,1
cium bau bau pecun uniform resource locator,0
henti konsumen wisata haji rumah tipu produsen wisata jiarah indonesia,1
buru nazi simon wiesenthal pegang foto foto gambar mantan kepala gestapo laki laki rauf buah van kamar gas gerak eksekusi orang orang yahudi,0
caci maki nista agama nyata poligami umpet sih ogah,1
bubar negara republik indonesia harga mati,1
sih royson jokowi kacung gue alas fundamental rezim sepe i sengaja masuk debt trap komunis cina north sumatera offshore wajib 2019 ganti presiden,1
wkwk mampus pepet uji ah,0
gubernur jaman now ya anti hoaks sebar isu ganjar yasin menang ganjar yasin 1 ganjar yasin,0
azan televisi panggil manggil allah subhanahu wa taala dungu biadab henti acara catut nama tuhan,1
laku bani cebong,1
baju yahudi top 4 bas geng jubah putih kopiah minyak atar janggut dahi belekok bak ahli syurga nih out of place mohon rajam,0
gue ge marah auto daftar hitam hidup gue sampah daur ulang,0
anjir bekas silit,0
cebong panas ngawur,1
amin moga be iga tampil sumbang medali sumatra selatan,0
,0
gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya suku agama sungguh kaya djarot hadap pese a rakercabsu,0
bingkai bangkai ajar hidup,0
edan menang lihat ya ampun kakak r gue banget,0
partai komunis indonesia alias ai korupsi indonesia ganyang,1
perempuan kayak mending mati deh jelek sok make up a ist,1
jual gue kayak jablay,0
bijak tugas jajar kereta listrik doang tumpang doang suruh orang menge i menge i butuh orang bangkai,0
titit nya sambung pakai accessoris,0
mata gue pas sipit aneh banget,0
banci gigih natural killer uniform resource locator,0
waspada cina komunis indonesia,1
banci kampung heeee,1
gembel ganteng kasihan cinta asyik asyik hebat,0
deklarasi pilih kepala daerah 2018 aman anti hoaks toga jemirahan jabon,0
setia usaha agung pas datuk takiyuddin hasan sahkan cuba pinda lembaga i sepe i presiden i,0
najis,0
sastra e karl mark pentol komunis rusia,0
otak kayak bool deh mes makan silit,0
ganti rezim kacung cebong,1
cina hak larang,1
hebat bicara cinta pegang alquran pegang hidup alquran bicara cinta perang bunuh penggal,1
jomlo jablay,0
perjaka jual sok sok an booking tante idiot anjir,1
rev 1 pilih ulama kafir munafik,1
jaga bersih lingkung orang orang melek wajib buang sampah bicara tugas bersih,0
sejuk gila kantor kulit buaya,0
ooo kena imbang nakal kucing anjing abang dark side bright side chill sosial kalai lengkap haha k bang selamat maju jaya terima kasih,0
solusi 2019 ganti presiden dampak signifikan nya obat cegah sakit be ambah parah,1
gampang kak buka handphone buka browser ketik budaya palembang sila nikmat ajar gratis,0
gerombol onta bela umat mata politik praktis tuan guru bajang demokratis umat pikir modern salut tuan guru bajang,0
culun mending kampung jess,1
goyang jilboobs mantap nih hyper kontol squi tonton live nya besok,0
islam indonesia islam nusantara islam modifikasi rupa masuk budaya indonesia agam islam nusantara islam toleran,0
presiden aspek indonesia mbak anti investasi asing ubah invasi asing wajib warga negara lawan,0
09 15 indonesia barat kepala unit bina masyarakat inspektur polisi mt hutasoit laksana sambang pesan pesan aman tertib masyarakat pilih gubernur pilih kepala daerah 2018 karyawan bank rakyat indonesia ranting muara damenra silit kawan kawan desa hutanagodang camat muara kabupaten tap utara,0
kalimantan tuju batu bara nya keruk listrik megap megap,0
fardu kifayah hukum wajib ajar islam pilih presiden utus kalang santri sokong ulama maju pimpin negeri,0
ha bangkai nih truk,1
nahdliyin setop hina hadap maruf amin,0
cebong kampret onta singgung laut,1
risa pulang latih khusus iris hazel milik tangkap siluet orang gadis gadis asing risa temu gadis radio tinggal kerja r,0
